Experiment,Part,Stimulus,time,x,y,x_offset,y_offset
UV22MS,1663266938,29.jpg,1663266953.847997,2446.652633916801,3188.928270794161,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.855046,2446.652633916801,3188.928270794161,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.8794448,2482.502678521998,3171.0364369474055,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.9111645,2324.664689929846,3131.455850728783,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.9434426,2609.1389062719327,3216.119479947095,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266953.9759603,2520.9309601961336,3302.9840017764955,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266954.0448532,2578.3272822318404,3248.805724132988,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266954.0719144,2466.3343731242835,3258.088542655777,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,29.jpg,1663266954.1035178,2391.327325041473,3228.297827717536,-438.6423743914638,-506.90127671903247
UV22MS,1663266938,34manipulated3.jpg,1663266954.5351522,247.68854852038692,240.33275860031299,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.5673683,342.80043273450553,345.7569873174294,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.615478,-7.8808227586750945,272.70596620776433,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.647909,259.76745859994827,316.9429711237184,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.6560137,259.76745859994827,316.9429711237184,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.6791294,2353.1277456820117,3072.001182580163,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.7112901,2882.6241961249516,3937.9408400462717,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.7436993,2909.718990365562,3981.906169861788,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.7866688,2842.145205249476,3951.8576978123374,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.8396685,2829.0671100226396,4071.330329023955,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.87167,3064.1605377975825,4157.561210003185,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.9036677,3006.3669228586655,4109.1518391242325,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.935668,3102.893091238681,4034.874365022492,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266954.967668,2846.054930370207,3945.1890631661904,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.01467,3061.2858624549567,4126.504639977764,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.0476677,2930.9879591111694,4057.452942477147,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.0576677,2930.9879591111694,4057.452942477147,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.079668,3075.024557814285,4087.8888483515207,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.1116676,3027.0451519531257,4050.6669663820767,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.143669,2910.702690092134,3980.847226462206,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.175669,2875.28806797041,3841.758663114878,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.2386675,3044.1370406634337,3951.4210742428636,-115.93077225882371,143.9699569914992
UV22MS,1663266938,34manipulated3.jpg,1663266955.2706676,2950.857557369897,3986.277231543786,-115.93077225882371,143.9699569914992
